"","scatterplot.Garstki2017_Scatter.PNG.id","scatterplot.Garstki2017_Scatter.PNG.x","scatterplot.Garstki2017_Scatter.PNG.y","scatterplot.Garstki2017_Scatter.PNG.group","scatterplot.Garstki2017_Scatter.PNG.col","scatterplot.Garstki2017_Scatter.PNG.pch","scatterplot.Garstki2017_Scatter.PNG.y_variable","scatterplot.Garstki2017_Scatter.PNG.x_variable"
"1","",0.154430379746836,0.160714285714286,1,"red",19,"width","length"
"2","",0.744303797468354,0.385714285714286,1,"red",19,"width","length"
"3","",0.769620253164557,0.389285714285714,1,"red",19,"width","length"
"4","",1.15443037974683,0.582142857142857,1,"red",19,"width","length"
"5","",0.8,0.775,1,"red",19,"width","length"
"6","",0.90379746835443,0.764285714285714,1,"red",19,"width","length"
"7","",0.8,0.682142857142857,1,"red",19,"width","length"
"8","",0.70126582278481,0.685714285714286,1,"red",19,"width","length"
"9","",0.736708860759493,0.642857142857143,1,"red",19,"width","length"
"10","",0.650632911392405,0.632142857142857,1,"red",19,"width","length"
"11","",0.60253164556962,0.589285714285714,1,"red",19,"width","length"
"12","",0.736708860759493,0.567857142857143,1,"red",19,"width","length"
"13","",0.686075949367088,0.614285714285715,1,"red",19,"width","length"
"14","",0.70379746835443,0.610714285714286,1,"red",19,"width","length"
"15","",0.70379746835443,0.525,1,"red",19,"width","length"
"16","",0.70126582278481,0.485714285714286,1,"red",19,"width","length"
"17","",0.577215189873417,0.392857142857143,1,"red",19,"width","length"
"18","",0.248101265822785,0.246428571428571,1,"red",19,"width","length"
"19","",0.258227848101266,0.25,1,"red",19,"width","length"
"20","",0.281012658227848,0.310714285714286,1,"red",19,"width","length"
"21","",0.29873417721519,0.292857142857143,1,"red",19,"width","length"
"22","",0.29620253164557,0.271428571428572,1,"red",19,"width","length"
"23","",0.354430379746835,0.314285714285714,1,"red",19,"width","length"
"24","",0.369620253164557,0.317857142857143,1,"red",19,"width","length"
"25","",0.39746835443038,0.3,1,"red",19,"width","length"
"26","",0.379746835443038,0.385714285714286,1,"red",19,"width","length"
"27","",0.420253164556962,0.396428571428572,1,"red",19,"width","length"
"28","",0.448101265822785,0.389285714285714,1,"red",19,"width","length"
"29","",0.458227848101266,0.417857142857143,1,"red",19,"width","length"
"30","",0.475949367088608,0.435714285714286,1,"red",19,"width","length"
"31","",0.496202531645569,0.435714285714286,1,"red",19,"width","length"
"32","",0.49873417721519,0.396428571428572,1,"red",19,"width","length"
"33","",0.475949367088608,0.464285714285714,1,"red",19,"width","length"
"34","",0.496202531645569,0.485714285714286,1,"red",19,"width","length"
